Numero de vaca;Address;Fecha/hora de visita;tiempo en cubiculo;Produccion de leche;tiempo;Descripcion;CIB;
58;101;18/02/2022 18:55:00;5:01;11;5:01;Correcto;58;
516;101;18/02/2022 18:59:00;4:18;11.1;4:18;Correcto;516;
246;101;18/02/2022 19:05:00;6:01;14.1;6:01;Correcto;246;
150;101;18/02/2022 19:11:00;5:03;13;5:03;Correcto;150;
153;101;18/02/2022 19:30:00;5:50;15.3;5:50;Correcto;153;
245;101;18/02/2022 19:35:00;5:21;7.4;5:21;Correcto;245;
84;101;18/02/2022 19:42:00;6:51;13.5;6:51;Correcto;84;
197;101;18/02/2022 19:49:00;6:09;18;6:09;Correcto;197;
130;101;18/02/2022 19:55:00;5:58;9.8;5:58;Correcto;130;
175;101;18/02/2022 20:03:00;7:44;18;7:44;Correcto;175;
138;101;18/02/2022 20:09:00;5:44;12.7;5:44;Correcto;138;
167;101;18/02/2022 20:17:00;8:14;19.4;8:14;Correcto;167;
198;101;18/02/2022 20:28:00;6:15;17.8;6:15;Correcto;198;
227;101;18/02/2022 20:34:00;5:48;12;5:48;Correcto;227;
206;101;18/02/2022 20:43:00;8:25;26.1;8:25;Correcto;206;
160;101;18/02/2022 20:50:00;7:01;14.7;7:01;Correcto;160;
218;101;18/02/2022 20:58:00;8:11;14.8;8:11;Correcto;218;
59;101;18/02/2022 21:05:00;6:31;17.3;6:31;Correcto;59;
302;101;18/02/2022 21:10:00;5:02;13.1;5:02;Correcto;302;
220;101;18/02/2022 21:14:00;4:37;9.8;4:37;Correcto;220;
224;101;18/02/2022 21:20:00;5:50;9.7;5:50;Correcto;224;
247;101;18/02/2022 21:30:00;9:13;16.6;9:13;Correcto;247;
134;101;18/02/2022 21:34:00;4:19;11.6;4:19;Correcto;134;
13;101;18/02/2022 21:41:00;5:35;7.2;5:35;Correcto;13;
163;101;18/02/2022 21:53:00;12:22;24.9;12:22;Correcto;163;
240;101;18/02/2022 21:58:00;4:59;12.3;4:59;Correcto;240;
90;101;18/02/2022 22:06:00;8:02;23.1;8:02;Correcto;90;
404;101;18/02/2022 22:19:00;4:59;11;4:59;Correcto;404;
72;101;18/02/2022 22:23:00;4:16;12.4;4:16;Correcto;72;
221;101;18/02/2022 22:30:00;6:16;14.5;6:16;Correcto;221;
280;101;18/02/2022 22:39:00;8:20;12.7;8:20;Correcto;280;
32;101;18/02/2022 22:44:00;4:47;15.1;4:47;Correcto;32;
149;101;18/02/2022 23:12:00;7:25;11.9;7:25;Correcto;149;
76;101;18/02/2022 23:18:00;5:09;11.2;5:09;Correcto;76;
81;101;18/02/2022 23:26:00;7:49;10.8;7:49;Correcto;81;
146;101;18/02/2022 23:33:00;7:09;15.1;7:09;Correcto;146;
170;101;18/02/2022 23:43:00;8:18;13.3;8:18;Correcto;170;
226;101;18/02/2022 23:48:00;5:37;13.4;5:37;Correcto;226;
245;101;18/02/2022 23:54:00;5:14;7.9;5:14;Correcto;245;
259;101;19/02/2022 0:04:00;9:38;11.5;9:38;Correcto;259;
412;101;19/02/2022 0:10:00;6:12;10.7;6:12;Correcto;412;
195;101;19/02/2022 0:21:00;11:29;17.7;11:29;Correcto;195;
53;101;19/02/2022 0:27:00;5:46;14.2;5:46;Correcto;53;
130;101;19/02/2022 0:33:00;6:05;8.9;6:05;Correcto;130;
228;101;19/02/2022 0:39:00;5:29;9;5:29;Correcto;228;
171;101;19/02/2022 0:52:00;12:36;21.1;12:36;Correcto;171;
231;101;19/02/2022 1:02:00;9:45;19.9;9:45;Correcto;231;
196;101;19/02/2022 1:09:00;6:53;13.1;6:53;Correcto;196;
138;101;19/02/2022 1:14:00;4:54;9.6;4:54;Correcto;138;
236;101;19/02/2022 1:19:00;5:28;14.9;5:28;Correcto;236;
473;101;19/02/2022 1:26:00;6:07;12.6;6:07;Correcto;473;
168;101;19/02/2022 1:32:00;6:32;15.9;6:32;Correcto;168;
208;101;19/02/2022 1:41:00;8:04;14.2;8:04;Correcto;208;
516;101;19/02/2022 1:45:00;4:18;10.4;4:18;Correcto;516;
212;101;19/02/2022 1:51:00;6:16;13.6;6:16;Correcto;212;
31;101;19/02/2022 1:58:00;6:44;19.9;6:44;Correcto;31;
249;101;19/02/2022 2:05:00;6:58;19.2;6:58;Correcto;249;
291;101;19/02/2022 2:13:00;8:07;17.2;8:07;Correcto;291;
167;101;19/02/2022 2:20:00;6:56;11.7;6:56;Correcto;167;
240;101;19/02/2022 2:27:00;5:38;10.1;5:38;Correcto;240;
532;101;19/02/2022 2:41:00;14:36;17.1;14:36;Correcto;532;
47;101;19/02/2022 2:47:00;6:00;17.4;6:00;Correcto;47;
13;101;19/02/2022 2:54:00;6:41;8.3;6:41;Correcto;13;
224;101;19/02/2022 3:00:00;5:22;9.2;5:22;Correcto;224;
153;101;19/02/2022 3:05:00;5:49;15.9;5:49;Correcto;153;
150;101;19/02/2022 3:11:00;5:04;12.6;5:04;Correcto;150;
132;101;19/02/2022 3:19:00;8:05;17.9;8:05;Correcto;132;
84;101;19/02/2022 3:26:00;6:57;13.6;6:57;Correcto;84;
141;101;19/02/2022 3:32:00;6:32;16.4;6:32;Correcto;141;
220;101;19/02/2022 3:38:00;5:00;11.3;5:00;Correcto;220;
185;101;19/02/2022 3:42:00;3:52;6;3:52;Tiempo muerto de orde�o TD;185;
72;101;19/02/2022 3:48:00;6:05;11.6;6:05;Correcto;72;
245;101;19/02/2022 3:54:00;6:14;8.8;6:14;Correcto;245;
117;101;19/02/2022 4:04:00;9:13;19.2;9:13;Correcto;117;
394;101;19/02/2022 4:16:00;12:29;21.4;12:29;Correcto;394;
134;101;19/02/2022 4:21:00;4:57;10.8;4:57;Correcto;134;
227;101;19/02/2022 4:27:00;4:56;14.7;4:56;Correcto;227;
81;101;19/02/2022 4:34:00;7:17;10.2;7:17;Correcto;81;
233;101;19/02/2022 4:43:00;9:00;20;9:00;Correcto;233;
197;101;19/02/2022 4:50:00;6:55;16.2;6:55;Correcto;197;
59;101;19/02/2022 4:55:00;5:06;13.7;5:06;Correcto;59;
58;101;19/02/2022 5:01:00;5:47;16.8;5:47;Correcto;58;
21;101;19/02/2022 5:08:00;6:52;15.5;6:52;Correcto;21;
