cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
7443,Wed Aug 10 19:34:21 CEST 2022,6.56,538,579.46,5247.48,0.1,36659.33,6.25,5,0.56,18425.35,159709.74,3.16,77.03,0.01,1085.69,606.03,3890.86,1
7441,Wed Aug 10 19:44:33 CEST 2022,10.71,586,180.03,5050.33,0.04,7996.59,1.54,3,0.31,4039.25,86711.06,0.78,25.33,0.01,103.92,180.17,808.87,0
5427,Wed Aug 10 19:56:52 CEST 2022,10.21,447,167.47,2692.77,0.05,8914.09,2.65,5,0.67,4520.81,70790.34,1.36,24.71,0.01,163.76,169.5,899.33,11
3628,Wed Aug 10 20:08:15 CEST 2022,9.48,304,409.03,3295.23,0.1,27430.26,7.34,5,0.99,14058.55,130300.66,3.75,106.2,0.02,1031.25,402.33,2893.42,1
7436,Wed Aug 10 20:13:50 CEST 2022,9.63,269,594.85,4199.42,0.08,63811.9,8.02,4,0.89,32112.27,228845.35,4.03,131.78,0.02,1150.93,608.52,6205.2,1
233,Wed Aug 10 20:18:21 CEST 2022,9.59,298,493.9,4609.04,0.07,49524.97,6.97,4,0.81,24840.81,209493.02,3.51,98.45,0.01,1113.22,483.86,4893.83,1
9759,Wed Aug 10 20:38:21 CEST 2022,8.03,358,801.36,6687.82,0.18,46553.97,13.52,6,1.01,24287.6,211627.71,6.9,187.78,0.03,2048.38,751.33,4109.83,1
6498,Wed Aug 10 20:44:21 CEST 2022,13.85,478,457.56,6073.23,0.07,17248.62,3.31,4,0.5,8650.79,196323.77,1.68,32.06,0.01,223.81,482.63,1726.69,1
6493,Wed Aug 10 20:54:24 CEST 2022,12.14,475,545.23,6286.53,0.06,31446.32,3.45,5,0.63,15930.95,178417.52,1.75,77.55,0.01,629.05,527.5,3031.58,11
6723,Wed Aug 10 21:20:21 CEST 2022,10.94,358,193.13,2861.85,0.08,18179.33,6.97,4,0.67,9134.08,134578.66,3.51,33.12,0.01,242.18,192.67,1801.68,1
6232,Wed Aug 10 21:26:21 CEST 2022,8.97,478,937.6,6617.03,0.1,57320.08,5.41,3,0.38,28753.56,202962.18,2.71,144.15,0.01,1126.57,952,5510.46,11
